threads_per_block,avg_time_ms,gflops
1,0.0047,17498.2852
2,0.0013,64810.1289
3,0.0012,66840.7344
4,0.0012,65979.3828
5,0.0012,68632.7031
6,0.0012,68266.6641
7,0.0012,68817.2031
8,0.0012,68266.6641
9,0.0012,67015.7031
10,0.0012,67904.5000
11,0.0012,66493.5156
12,0.0013,63366.3281
13,0.0012,69376.6953
14,0.0013,65306.1289
15,0.0012,67904.5078
16,0.0012,68266.6641
17,0.0012,68817.2031
18,0.0013,64810.1289
19,0.0012,68449.1953
20,0.0012,68817.1953
21,0.0012,68632.7031
22,0.0012,69002.6875
23,0.0012,69002.6953
24,0.0012,68449.1953
25,0.0012,67546.1797
26,0.0012,67724.8672
27,0.0012,65809.7734
28,0.0012,68449.1953
29,0.0012,69002.6953
30,0.0012,68266.6719
31,0.0012,69189.1875
32,0.0012,69189.1797
